"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"matched","GET","/api/dashboard/resumen","GET","/api/Dashboard/resumen","DashboardController","GetResumenAsync","Facturacion.Frontend/Pages/Index.cshtml.cs:41"
"matched","GET","/api/documentos/{documentoId}","GET","/api/Documentos/{id:guid}","DocumentosController","GetAsync","Facturacion.Frontend/Pages/RecibosPago.cshtml.cs:234; Facturacion.Frontend/Pages/RecibosPago.cshtml.cs:410"
"matched","GET","/api/Documentos/{id}","GET","/api/Documentos/{id:guid}","DocumentosController","GetAsync","Facturacion.Frontend/Pages/DocumentoDetalle.cshtml.cs:50; Facturacion.Frontend/Pages/Documentos.cshtml.cs:130; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:495"
"matched","GET","/api/Documentos/{id}/download-zip","GET","/api/Documentos/{id:guid}/download-zip","DocumentosController","DownloadZipAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:379"
"matched","GET","/api/Documentos/{id}/respuesta-hacienda","GET","/api/Documentos/{id:guid}/respuesta-hacienda","DocumentosController","GetRespuestaHaciendaAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:356"
"matched","GET","/api/Documentos/{id}/xml","GET","/api/Documentos/{id:guid}/xml","DocumentosController","GenerarXmlAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:303"
"matched","GET","/api/Documentos?empresaId={empresaId}","GET","/api/Documentos","DocumentosController","GetAsync","Facturacion.Frontend/Pages/Facturacion.cshtml.cs:182"
"matched","GET","/api/documentos?empresaId={empresaId}&tipoDocumento=10","GET","/api/Documentos","DocumentosController","GetAsync","Facturacion.Frontend/Pages/RecibosPago.cshtml.cs:113"
"matched","GET","/api/empresas","GET","/api/Empresas","EmpresasController","GetAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:64; Facturacion.Frontend/Pages/Sucursales.cshtml.cs:232"
"matched","GET","/api/empresas/{id}","GET","/api/Empresas/{id:guid}","EmpresasController","GetAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:112; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:120"
"matched","GET","/api/empresas/active","GET","/api/Empresas/active","EmpresasController","GetActiveAsync","Facturacion.Frontend/Pages/Usuarios.cshtml.cs:119"
"matched","GET","/api/gastos/{id}","GET","/api/Gastos/{id:guid}","GastosController","GetAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:73"
"matched","GET","/api/Inventarios/{id}","GET","/api/Inventarios/{id:guid}","InventariosController","GetAsync","Facturacion.Frontend/Pages/Inventario.cshtml.cs:209"
