"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"matched","POST","/api/clientes","POST","/api/Clientes","ClientesController","PostAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:121"
"matched","POST","/api/consecutivos","POST","/api/Consecutivos","ConsecutivosController","PostAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:692"
"matched","POST","/api/Documentos","POST","/api/Documentos","DocumentosController","PostAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:221; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:405"
"matched","POST","/api/Documentos/{id}/procesar","POST","/api/Documentos/{id:guid}/procesar","DocumentosController","ProcesarYEnviarAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:334"
"matched","POST","/api/Documentos/{id}/reenviar","POST","/api/Documentos/{id:guid}/reenviar","DocumentosController","ReenviarAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:410"
"matched","POST","/api/Documentos/{id}/reintentar","POST","/api/Documentos/{id:guid}/reintentar","DocumentosController","ReintentarAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:480"
"matched","POST","/api/Documentos/enviar-correo","POST","/api/Documentos/enviar-correo","DocumentosController","EnviarCorreoAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:435"
"matched","POST","/api/empresas","POST","/api/Empresas","EmpresasController","PostAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:260"
"matched","POST","/api/gastos","POST","/api/Gastos","GastosController","PostAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:124"
"matched","POST","/api/Inventarios","POST","/api/Inventarios","InventariosController","PostAsync","Facturacion.Frontend/Pages/Inventario.cshtml.cs:245"
"matched","POST","/api/Inventarios/{id}/ajuste","POST","/api/Inventarios/{id:guid}/ajuste","InventariosController","PostAjusteAsync","Facturacion.Frontend/Pages/Inventario.cshtml.cs:287"
"matched","POST","/api/Inventarios/{id}/traslado","POST","/api/Inventarios/{id:guid}/traslado","InventariosController","PostTrasladoAsync","Facturacion.Frontend/Pages/Inventario.cshtml.cs:329"
"matched","POST","/api/productos","POST","/api/Productos","ProductosController","PostAsync","Facturacion.Frontend/Pages/Productos.cshtml.cs:132"
"matched","POST","/api/proveedores","POST","/api/Proveedores","ProveedoresController","PostAsync","Facturacion.Frontend/Pages/Proveedores.cshtml.cs:111"
"matched","POST","/api/recibospago/generar?empresaId={empresaId}&terminalId={terminalId}","POST","/api/RecibosPago/generar","RecibosPagoController","GenerarREP","Facturacion.Frontend/Pages/RecibosPago.cshtml.cs:352"
"matched","POST","/api/roles","POST","/api/Roles","RolesController","PostAsync","Facturacion.Frontend/Pages/Roles.cshtml.cs:200"
"matched","POST","/api/sucursales","POST","/api/Sucursales","SucursalesController","PostAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:421; Facturacion.Frontend/Pages/Sucursales.cshtml.cs:155"
"matched","POST","/api/terminales","POST","/api/Terminales","TerminalesController","PostAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:566; Facturacion.Frontend/Pages/Terminales.cshtml.cs:169"
"matched","POST","/api/usuarios","POST","/api/Usuarios","UsuariosController","PostAsync","Facturacion.Frontend/Pages/Usuarios.cshtml.cs:200"
"matched","PUT","/api/categorias/{categoriaData.Id}","PUT","/api/Categorias/{id:guid}","CategoriasController","PutAsync","Facturacion.Frontend/Pages/Categorias.cshtml.cs:137"
"matched","PUT","/api/clientes/{clienteData.Id}","PUT","/api/Clientes/{id:guid}","ClientesController","PutAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:125"
"matched","PUT","/api/consecutivos/{consecutivo.Id}","PUT","/api/Consecutivos/{id:guid}","ConsecutivosController","PutAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:696"
"matched","PUT","/api/Documentos/{documentoId}","PUT","/api/Documentos/{id:guid}","DocumentosController","PutAsync","Facturacion.Frontend/Pages/Facturacion.cshtml.cs:542"
"matched","PUT","/api/empresas/{Empresa.Id}","PUT","/api/Empresas/{id:guid}","EmpresasController","PutAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:264"
"matched","PUT","/api/gastos/{gastoData.id}","PUT","/api/Gastos/{id:guid}","GastosController","PutAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:128"
"matched","PUT","/api/productos/{productoData.Id}","PUT","/api/Productos/{id:guid}","ProductosController","PutAsync","Facturacion.Frontend/Pages/Productos.cshtml.cs:136"
"matched","PUT","/api/proveedores/{proveedorData.Id}","PUT","/api/Proveedores/{id:guid}","ProveedoresController","PutAsync","Facturacion.Frontend/Pages/Proveedores.cshtml.cs:115"
"matched","PUT","/api/roles/{id}/privilegios","PUT","/api/Roles/{id}/privilegios","RolesController","UpdatePrivilegiosAsync","Facturacion.Frontend/Pages/Roles.cshtml.cs:282"
"matched","PUT","/api/roles/{rolId}","PUT","/api/Roles/{id}","RolesController","PutAsync","Facturacion.Frontend/Pages/Roles.cshtml.cs:196"
"matched","PUT","/api/sucursales/{sucursal.Id}","PUT","/api/Sucursales/{id:guid}","SucursalesController","PutAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:425"
